Overall,Feature,Rank
5.4375620428677,Ar_MA0007.3,58
4.57136209241091,Arnt_MA0004.1,66
2.2650551069063,ATF7_MA0834.1,78
9.46292342124761,Bach1Mafk_MA0591.1,18
8.90813288759761,BACH2_MA1101.1,20
7.84647828261139,BATFJUN_MA0462.1,27
2.21791558913582,BHLHE40_MA0464.2,79
2.65612804736397,CEBPB_MA0466.2,76
5.31554858099599,CREB1_MA0018.3,61
0.5133980354651,Crem_MA0609.1,86
15.5400431977193,CTCF_MA0139.1,2
0,CUX1_MA0754.1,87
5.3620051916129,Ddit3Cebpa_MA0019.1,60
1.20309017267586,E2F1_MA0024.3,84
10.8088948066526,E2F4_MA0470.1,10
8.7821002545302,EBF1_MA0154.3,22
5.82331905971861,ELF1_MA0473.2,52
3.92525526817553,ELK1_MA0028.2,71
0.959877567063612,EN1_MA0027.2,85
7.74271861654052,Esrra_MA0592.2,29
5.60957690758804,ETS1_MA0098.3,56
7.68088815586066,ETV6_MA0645.1,30
7.32664283861242,FOSJUND_MA1141.1,34
7.20399643109567,Foxa2_MA0047.2,39
6.82366752573531,FOXC1_MA0032.2,44
2.11710354456075,FOXD1_MA0031.1,82
8.30630457120704,Foxd3_MA0041.1,23
5.37012095075883,FOXF2_MA0030.1,59
2.1153394071025,FOXI1_MA0042.2,83
2.18700360976266,FOXL1_MA0033.2,80
5.86794383946812,Foxq1_MA0040.1,51
6.9609542103402,Gabpa_MA0062.2,41
5.72097198485897,Gata1_MA0035.3,54
4.79387801893095,GATA2_MA0036.3,64
4.04461321767213,GATA3_MA0037.3,70
7.20411078266225,Gfi1_MA0038.1,38
2.45881161341717,HLF_MA0043.2,77
4.49141667234363,HNF1A_MA0046.2,67
5.62533509554377,HSF1_MA0486.2,55
12.6287997507774,IRF1_MA0050.2,3
4.78579248355918,IRF4_MA1419.1,65
7.80216291717513,JUNB_MA0490.1,28
10.8980271040416,KLF4_MA0039.3,8
6.9405899372121,LEF1_MA0768.1,42
7.12561980678181,MAFK_MA0496.2,40
2.88084124419084,MAX_MA0058.3,75
5.7499821931619,Mecom_MA0029.1,53
6.13436571292739,MEF2A_MA0052.3,48
4.96937488860321,MEF2B_MA0660.1,63
8.26476149829225,MEF2C_MA0497.1,24
4.06107154482072,MXI1_MA1108.1,69
6.59735962326964,MYB_MA0100.3,46
7.29690153178643,NFAT5_MA0606.1,35
6.31165650909244,NFATC1_MA0624.1,47
6.90640511950244,NFATC2_MA0152.1,43
3.09321926682136,NFIL3_MA0025.1,73
5.87515740031513,NFYA_MA0060.3,50
5.9886297197206,NFYB_MA0502.1,49
10.0242472019994,NHLH1_MA0048.2,14
9.6093622064027,NR2F1_MA0017.2,17
10.5943544059011,NRF1_MA0506.1,11
2.17208222527498,OLIG2_MA0678.1,81
7.60905359202524,PAX5_MA0014.3,31
10.8429403016935,PBX3_MA1114.1,9
6.77279943593747,PKNOX1_MA0782.1,45
7.89505501204139,RELB_MA1117.1,25
12.5058240422478,REST_MA0138.2,4
10.5411919877749,RUNX1_MA0002.2,12
4.29419223313778,RUNX2_MA0511.2,68
4.98940343242605,RUNX3_MA0684.1,62
2.93430465733554,SRF_MA0083.3,74
9.84938520300758,STAT3_MA0144.2,16
3.48902870007787,T_MA0009.2,72
7.4750613338747,TBX21_MA0690.1,33
11.5644739257321,Tcf12_MA0521.1,6
9.10441798399698,TCF3_MA0522.2,19
9.91058632143784,TCF4_MA0830.1,15
7.27016512358585,TCF7L2_MA0523.1,37
11.3294052309819,TFAP2A_MA0003.3,7
7.51350320281147,USF1_MA0093.2,32
5.50819811022161,USF2_MA0526.2,57
8.79370613458505,YY1_MA0095.2,21
11.6660957823021,ZEB1_MA0103.3,5
7.86842045889579,ZNF143_MA0088.2,26
7.29448142995913,ZNF24_MA1124.1,36
10.4293358578707,ZNF384_MA1125.1,13
100,ATAC,1
